t,q_hip,i_hip,q_knee,i_knee,q_ankle,i_ankle,q_shoulder,i_shoulder,ax,ay,az,fx,fy,fz,mx,my,mz,fx0,fy0,fz0,mx0,my0,mz0
0.0,0.0,2.0,0.420735,1.080605,0.454649,-0.832294,0.07056,-1.979985,0.0,0.257687,0.24089,0.0,2.164571,84.427472,-1.051442,-1.206107,0.030922,0.0,1.546122,60.305337,-0.154612,0.0,0.0
0.02,0.004,1.999936,0.422883,1.067107,0.45297,-0.846816,0.066598,-1.98218,0.006,0.259518,0.241155,0.050399,2.179952,84.429703,-1.05379,-1.198507,0.031574,0.035999,1.557108,60.306931,-0.155711,0.0036,0.0
0.04,0.008,1.999744,0.425004,1.05354,0.451261,-0.861283,0.062631,-1.984247,0.011999,0.26134,0.241417,0.100793,2.195253,84.431901,-1.056126,-1.190907,0.032225,0.071995,1.568038,60.308501,-0.156804,0.0072,0.0
0.06,0.011999,1.999424,0.427097,1.039907,0.449524,-0.875696,0.058661,-1.986188,0.017997,0.263152,0.241675,0.151177,2.210476,84.434067,-1.05845,-1.183308,0.032874,0.107984,1.578911,60.310048,-0.157891,0.010798,0.0
0.08,0.015997,1.998976,0.429163,1.026206,0.447759,-0.890053,0.054687,-1.988001,0.023994,0.264955,0.241929,0.201546,2.225619,84.436201,-1.060761,-1.175712,0.033522,0.143962,1.589728,60.311572,-0.158973,0.014396,0.0
0.1,0.019995,1.9984,0.431202,1.012441,0.445964,-0.904352,0.050709,-1.989688,0.029988,0.266748,0.242179,0.251895,2.240682,84.438302,-1.06306,-1.168117,0.034169,0.179925,1.600487,60.313073,-0.160049,0.017993,0.0
0.12,0.023991,1.997696,0.433213,0.99861,0.444141,-0.918594,0.046728,-1.991247,0.035978,0.268531,0.242425,0.302219,2.255664,84.44037,-1.065347,-1.160526,0.034814,0.21587,1.611189,60.31455,-0.161119,0.021587,0.0
0.14,0.027985,1.996865,0.435197,0.984715,0.44229,-0.932777,0.042744,-1.992678,0.041966,0.270305,0.242667,0.352512,2.270565,84.442406,-1.067621,-1.15294,0.035458,0.251794,1.621832,60.316004,-0.162183,0.025179,0.0
0.16,0.031978,1.995905,0.437152,0.970758,0.44041,-0.9469,0.038757,-1.993982,0.047949,0.27207,0.242906,0.40277,2.285385,84.444409,-1.069882,-1.145358,0.036101,0.287693,1.632418,60.317435,-0.163242,0.028769,0.0
0.18,0.035969,1.994818,0.439079,0.956738,0.438502,-0.960963,0.034768,-1.995159,0.053927,0.273824,0.24314,0.452988,2.300122,84.44638,-1.07213,-1.137782,0.036742,0.323563,1.642944,60.318843,-0.164294,0.032356,0.0
